x_1,t_1,x_2,t_2,label
tazomed 25,tæzəmd twɛnti faɪv,valazyd h 160 25,væleɪzɪd eɪtʃ wʌnhʌndɹɪd sɪksti twɛnti faɪv,1
vildalion m 550,vɪldæliən ɛm faɪvhʌndɹɪd fɪfti,alvida m,ælvɪdə ɛm,1
insuget 70 30,ɪnsuːgɪt sɛvənti θɜːɾi,insulet 50 50,ɪnsəlɪt fɪfti fɪfti,1
rovecol,ɹoʊvkɑːl,rosucol,ɹɑːsuːkɑːl,1
letrocord 25,lɛtɹəkɔːɹd twɛnti faɪv,letero,lɛtɛɹoʊ,1
enerflow,ɛnɚfloʊ,enerlax,ɛnɚlæks,1
celence 400,sɛləns fɔːɹhʌndɹɪd,celence 200,sɛləns tuːhʌndɹɪd,1
leucowel,luːkaʊəl,leucovorin calcium,luːkəvɔːɹɪn kælsiəm,1
puxenon,pʌksɛnən,prenaxon,pɹɪnæksən,1
picinaf,pɪsɪnæf,popicin,pɑːpɪsɪn,1
dutasusaph,duːɾɐsuːsæf,duasaph 300,duːɐsæf θɹiːhʌndɹɪd,1
fenitin,fɛnɪtɪn,foxitin,fɑːksɪtɪn,1
propitaz iv,pɹəpɪɾæz ɹoʊmən fɔːɹ,propain,pɹəpeɪn,1
maxidine,mæksɪdiːn,maxidyne,mæksɪdaɪn,1
katinko ginger amp patchouli oil scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli ɔɪl sɛnt,katinko ginger amp patchouli scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli sɛnt,1
tracrium,tɹækɹiəm,atrium,eɪtɹiəm,1
bactrigon,bæktɹɪgən,bactacin,bæktɐsɪn,1
rovix,ɹɑːvɪks,throvix,θɹɑːvɪks,1
montelev,mɔntɪlɛv,montesolv,mɔntɪsɑːlv,1
salveo odt,sælvɪoʊ ɑːt,silvex,sɪlvɛks,1
flosazin,flɑːsɐzɪn,floxazin,flɑːksɐzɪn,1
menquadfi,mɛŋkwɑːdfi,menadon,mɛnædən,1
magnilek,mægnaɪlək,inlex,ɪnlɛks,1
halonol,heɪlənɑːl,xalanol,zælɐnɑːl,1
bomozid,bɑːməzɪd,drozid,dɹɑːzɪd,1
fentyn,fɛntɪn,fertyl,fɜːɾaɪl,1
theoroxime 750,θiəɹəksaɪm sɛvənhʌndɹɪd fɪfti,eoroxime 250,eɪɚɹɑːksaɪm tuːhʌndɹɪd fɪfti,1
vino de quina,viːnoʊ də kwɪnə,vinodine,vɪnədiːn,1
altussan,ɔːltʌsən,atussin,æɾəsɪn,1
riscare odt,ɹɪskɛɹ ɑːt,risna,ɹɪsnə,1
gasmodic,gæzmɑːdɪk,qodic,kɑːdɪk,1
bruhep,bɹuːhɛp,bruprim,bɹʌpɹɪm,1
omepracent 40,oʊmpɹeɪsənt fɔːɹɾi,cosec 40,koʊsɛk fɔːɹɾi,1
fentyn,fɛntɪn,fentin,fɛntɪn,1
tobracor,tɑːbɹækɚ,tobrago,təbɹeɪgoʊ,1
rovecol,ɹoʊvkɑːl,rinecol,ɹaɪŋkɑːl,1
acitrate,ɐsɪtɹeɪt,kaitrate,kaɪtɹeɪt,1
divalpro 125 sprinkles,dɪvælpɹoʊ wʌnhʌndɹɪd twɛnti faɪv spɹɪŋkəlz,aroflo 125,æɹɑːfloʊ wʌnhʌndɹɪd twɛnti faɪv,1
blirelin,blaɪɚlɪn,mirel,maɪɚl,1
rabaphen,ɹæbæfən,riphen,ɹɪfən,1
lipirid,lɪpɪɹɪd,glipride,glɪpɹaɪd,1
cytamax 100,saɪɾɐmæks wʌnhʌndɹɪd,xytam,zaɪɾæm,1
ceprime,sɛpɹaɪm,cefuprime,sɛfəpɹaɪm,1
aerinex,ɛɹaɪnɛks,cartinex,kɑːɹtaɪnɛks,1
blatin 50,bleɪtɪn fɪfti,metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,1
ximvex,zɪmvɛks,ixime,ɪksaɪm,1
predixone,pɹiːdɪksoʊn,medixon,mɛdɪksən,1
aerinex,ɛɹaɪnɛks,aeruginox,ɛɹuːdʒɪnɑːks,1
co amoxisaph 457,koʊ æməksɪsæf fɔːɹhʌndɹɪd fɪfti sɛvən,co amoxisaph 375,koʊ æməksɪsæf θɹiːhʌndɹɪd sɛvənti faɪv,1
diosid,dɪɑːsɪd,dinosed,dɪnoʊzd,1
migco,mɪgkoʊ,micron c,maɪkɹɑːn siː,1
endusol r,ɛnduːsɑːl ɑːɹ,eurosol r in d5 water,jʊɹɹoʊsɑːl ɑːɹ ɪn diː faɪv wɔːɾɚ,1
salveo odt,sælvɪoʊ ɑːt,salvex,sælvɛks,1
leucowel,luːkaʊəl,coxwel,kɑːkswəl,1
pantrex,pæntɹɛks,pantorex d,pæntəɹɛks diː,1
vilomet 500,vaɪlɑːmɪt faɪvhʌndɹɪd,gliflomet 500 5,glɪflɑːmɪt faɪvhʌndɹɪd faɪv,1
rifelac,ɹaɪflæk,rifethromycin,ɹaɪfθɹəmaɪsɪn,1
cefromaxil,sɛfɹəmæksɪl,cefuromax,sɛfjʊɹɹɑːmæks,1
metfor pr 1000,mɛtfɚ piːɑːɹ wʌn θaʊzənd,metfor xr,mɛtfɚɹ ɛksɑːɹ,1
c flam,siː flæm,bewell c plus,bɪwɛl siː plʌs,1
tazastar 225,tæzɐstɑːɹ tuːhʌndɹɪd twɛnti faɪv,tazasave 45,tæzɐseɪv fɔːɹɾi faɪv,1
oranair plus,ɔːɹɐnɛɹ plʌs,charmcee plus zinc,tʃɑːɹmsiː plʌs zɪŋk,1
stanxime,stæŋksaɪm,danoxime,dænəksaɪm,1
zitabin 1000,zɪɾɐbɪn wʌn θaʊzənd,sitatin 100,sɪɾɐtɪn wʌnhʌndɹɪd,1
qualcet,kwɔlsɪt,alicet,ɐlaɪsɪt,1
ceprime,sɛpɹaɪm,cexime,sɛksaɪm,1
anarom,ænɐɹɑːm,sanirom 1000,sænɪɹɑːm wʌn θaʊzənd,1
finzant,fɪnzənt,finasticare,faɪnɐstɪkɛɹ,1
asconzee,ɐskɑːnziː,ascorbzee,ɐskɔːɹbziː,1
zevelatab,zɛvɪlæɾæb,sevela,sɛvɛlə,1
welltrate,wɛltɹeɪt,xtrate,ɛkstɹeɪt,1
euvichol plus,juːvɪkɑːl plʌs,rapcvit plus chewtab,ɹæpkvɪt plʌs tʃuːɾæb,1
telsar 80,tɛlsɑːɹ eɪɾi,telmisar am 80,tɛlmɪsɑːɹ æm eɪɾi,1
healthcare grille,hɛlθkɛɹ gɹɪl,healthcare,hɛlθkɛɹ,1
essentiale forte p,ɛsɛnʃəl fɔːɹɾeɪ piː,diabee forte,daɪəbiː fɔːɹɾeɪ,1
puxenon,pʌksɛnən,zenon,zɛnɑːn,1
silrec 50,sɪlɹɛk fɪfti,duoglica plus 50 500,duːɑːglɪkə plʌs fɪfti faɪvhʌndɹɪd,1
pantrex,pæntɹɛks,centrex,sɛntɹɛks,1
coughsaph 1,kɔfsæf wʌn,hyosaph,haɪəsæf,1
maricoxia 90,mæɹɪkɑːksiə naɪnti,arcoxia,ɑːɹkɑːksiə,1
myelax,maɪɪlæks,mylan,maɪlæn,1
retasarc,ɹɪtæsɑːɹk,retazar,ɹɪtæzɑːɹ,1
rifoxyn,ɹɪfəksɪn,rifamox,ɹɪfɐmɑːks,1
muprivex,mʌpɹɪvɛks,muprixine,mʌpɹɪksaɪn,1
pantosaph 20,pæntəsæf twɛnti,pantosaph 40,pæntəsæf fɔːɹɾi,1
metocol,mɛɾəkɑːl,cemetol,sɛmɪtɑːl,1
afebrin tf,ɐfɛbɹɪn tiːɛf,abrin,ɐbɹɪn,1
conpanzole,kənpænzoʊl,panzel,pænzəl,1
arpipo,ɑːɹpɪpoʊ,arpip,ɑːɹpɪp,1
bactrigon,bæktɹɪgən,bactropen plus,bæktɹoʊpən plʌs,1
boost,buːst,boostervit,buːstɚvɪt,1
rainoxone,ɹeɪnəksoʊn,haixone,heɪksoʊn,1
pipercil 45,paɪpɚsəl fɔːɹɾi faɪv,piperbactam 45,paɪpɚbæktæm fɔːɹɾi faɪv,1
united home dermatec,juːnaɪɾɪd hoʊm dɜːmeɪɾək,ematep,ɪmeɪɾəp,1
metfor pr 1000,mɛtfɚ piːɑːɹ wʌn θaʊzənd,metforze,mɛtfɔːɹz,1
rosubest 20,ɹɑːsuːbɪst twɛnti,rabesta 20,ɹeɪbɛstə twɛnti,1
efergen,ɛfɚdʒən,cefegen,sɛfɛdʒən,1
bersevel,bɚsɛvəl,brevixel,bɹɛvɪksəl,1
sanzepir 50,sænzɪpɪɹ fɪfti,sanzepir 10,sænzɪpɪɹ tɛn,1
fenitin,fɛnɪtɪn,fenaxin,fɛnɐksɪn,1
femostal 20,fɛmoʊstəl twɛnti,emestal,ɪmɛstəl,1
dsinfex,diːsɪnfɛks,doxinex,dɑːksaɪnɛks,1
rinobact spray,ɹɪnəbækt spɹeɪ,lysobact complete spray,laɪsəbækt kəmpliːt spɹeɪ,1
lamtac 25,læmtæk twɛnti faɪv,telday h 80 25,tɛldeɪ eɪtʃ eɪɾi twɛnti faɪv,1
zenith,ziːnɪθ,zenith od,ziːnɪθ ɑːd,1
kalomin s,kæləmɪn ɛs,klor s,klɔːɹ ɛs,1
gaviscon double action,gævɪskən dʌbəl ækʃən,vicod,vɪkɑːd,1
insuljack r,ɪnsʌldʒæk ɑːɹ,insunova r,ɪnsʌnoʊvə ɑːɹ,1
pantosaph 20,pæntəsæf twɛnti,ator 20,eɪɾɚ twɛnti,1
muprivex,mʌpɹɪvɛks,mupiriv,mjuːpɪɹɪv,1
acitrate,ɐsɪtɹeɪt,rexcitrate,ɹɪkssɪtɹeɪt,1
ansed,ænst,anb,ænb,1
divalpro 125 sprinkles,dɪvælpɹoʊ wʌnhʌndɹɪd twɛnti faɪv spɹɪŋkəlz,carbosaph 125,kɑːɹbəsæf wʌnhʌndɹɪd twɛnti faɪv,1
vino de quina,viːnoʊ də kwɪnə,vinca,vɪŋkə,1
metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,aldactin 50,ɔːldɐktɪn fɪfti,1
tribacef,tɹaɪbeɪsəf,tribac,tɹaɪbæk,1
febstat 40,fɛbstæt fɔːɹɾi,bristat 40,bɹɪstæt fɔːɹɾi,1
tarka,tɑːɹkə,tartan 80,tɑːɹtən eɪɾi,1
clavtri 625,klævtɹi sɪkshʌndɹɪd twɛnti faɪv,aclav 625,ɐklæv sɪkshʌndɹɪd twɛnti faɪv,1
nutrimin forte,njuːtɹɪmɪn fɔːɹɾeɪ,nutrilon forte,njuːtɹɪlən fɔːɹɾeɪ,1
telmiheart plus 925,tɛlmɪhɑːɹt plʌs naɪnhʌndɹɪd twɛnti faɪv,amisar plus,æmɪsɑːɹ plʌs,1
medglor 90,mɛdʒlɚ naɪnti,remedlor,ɹɪmɛdlɚ,1
crezet,kɹɛzɪt,rezef,ɹɪzɛf,1
diosid,dɪɑːsɪd,diosmed,dɪɑːzəmd,1
oranair plus,ɔːɹɐnɛɹ plʌs,dailymin vita plus,deɪlɪmɪn viːɾə plʌs,1
dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,dapzin m 5,dæpzɪn ɛm faɪv,1
nutrimin forte,njuːtɹɪmɪn fɔːɹɾeɪ,nutrimin,njuːtɹɪmɪn,1
neopel,niːoʊpɛl,opel,oʊpəl,1
rapidon,ɹæpɪdən,rapidsen,ɹæpɪdsən,1
tobracor,tɑːbɹækɚ,tobracare,tɑːbɹɐkɛɹ,1
indiurex,ɪndɪjuːɹɛks,indrex,ɪndɹɛks,1
sunpant 40,sʌnpənt fɔːɹɾi,pantop 40,pæntɑːp fɔːɹɾi,1
ivapro 5,ɪvæpɹoʊ faɪv,clenzerpro 5,klɛnzɚpɹoʊ faɪv,1
rodazid,ɹɑːdɐzɪd,rifazid,ɹɪfɐzɪd,1
myrevit,maɪɹɪvɪt,myrecid,maɪɹɪsɪd,1
kaptroban,kæptɹɑːbən,captronx,kæptɹɑːŋks,1
flulon,fluːlɑːn,fucon,fjuːkən,1
cilvex,sɪlvɛks,celex,sɛlɛks,1
onefix,wʌnfɪks,onafix,ɑːnɐfɪks,1
sandostatin,sændəstætɪn,dystatin,dɪstɐtɪn,1
kogzib 60,kɑːgzɪb sɪksti,gemzib,dʒɛmzɪb,1
ceprime,sɛpɹaɪm,cepimed,sɛpaɪmd,1
rahika,ɹæhɪkə,hikari drip,hɪkɑːɹɹi dɹɪp,1
dexmer,dɛksmɚ,dexamet,dɛksæmɪt,1
giomox,dʒɪɑːmɑːks,gomox 457,gɑːmɑːks fɔːɹhʌndɹɪd fɪfti sɛvən,1
telmiheart 40,tɛlmɪhɑːɹt fɔːɹɾi,2tel 40,tuː tɛl fɔːɹɾi,1
iopamedix,aɪəpeɪmdɪks,ipramed,ɪpɹeɪmd,1
basagine,bæsɐdʒɪn,asadin,ɐsædɪn,1
ansed,ænst,anserm,ænsɜːm,1
rovix,ɹɑːvɪks,povix,pɑːvɪks,1
dota plus,doʊɾə plʌs,arten plus 300,ɑːɹʔn plʌs θɹiːhʌndɹɪd,1
green viii inj,gɹiːn ɹoʊmən eɪt ɪndʒ,ren v,ɹɛn viː,1
relidomide 15,ɹɪlɪdəmaɪd fɪftiːn,relidomide 20,ɹɪlɪdəmaɪd twɛnti,1
amphot,æmfɑːt,camphor,kæmfɚ,1
cefkizon,sɛfkaɪzən,cefzin,sɛfzɪn,1
biposaph g10,baɪpɑːsæf dʒiː tɛn,digosaph,dɪgəsæf,1
kalomin s,kæləmɪn ɛs,kremil s cool relief,kɹɛmɪl ɛs kuːl ɹɪliːf,1
eye glo moist,aɪ gloʊ mɔɪst,eye mo moisturizing formula,aɪ moʊ mɔɪstʃɚɹaɪzɪŋ fɔːɹmjʊlə,1
clobesaph,kloʊbsæf,clotrisaph,klɑːtɹɪsæf,1
nivicof,nɪvɪkɑːf,nocof,nɑːkɑːf,1
cytamax 100,saɪɾɐmæks wʌnhʌndɹɪd,rytam,ɹaɪɾæm,1
kephazon s q,kɛfeɪzən ɛs kjuː,cefzin s,sɛfzɪn ɛs,1
rodazid,ɹɑːdɐzɪd,reductazid,ɹɪdʌktɐzɪd,1
clozol,klɑːzɑːl,cilozol 50,saɪləzɑːl fɪfti,1
ampisaph 500,æmpɪsæf faɪvhʌndɹɪd,ampisaph 250,æmpɪsæf tuːhʌndɹɪd fɪfti,1
omecore,oʊmkɔːɹ,momecort,moʊmkɔːɹt,1
muprivex,mʌpɹɪvɛks,mupirv,mjuːpɜːv,1
bruhep,bɹuːhɛp,brulexin 500,bɹuːlɪksɪn faɪvhʌndɹɪd,1
glixa,glɪksə,glix,glɪks,1
picinaf,pɪsɪnæf,gopicin,gɑːpɪsɪn,1
green viii inj,gɹiːn ɹoʊmən eɪt ɪndʒ,renuvie,ɹɪnuːvi,1
montior l,mɔntjɚɹ ɛl,montior,mɔntjɚ,1
cizolin,sɪzəlɪn,bezolin,bɛzəlɪn,1
endusol r,ɛnduːsɑːl ɑːɹ,endusol m,ɛnduːsɑːl ɛm,1
curocent,kjʊɹɹoʊsənt,vancocent,væŋkoʊsənt,1
chiamin s,tʃaɪəmɪn ɛs,chiamin a,tʃaɪəmɪn eɪ,1
permetrizz,pɜːmɪtɹɪz,etriza,ɪtɹɪzə,1
albestan,ælbɪstɑːn,albez,ælbɛz,1
alkacit,ælkɐsɪt,alkacent,ælkeɪsənt,1
algabin 75,ælgɐbɪn sɛvənti faɪv,gablin,gæblɪn,1
eoroxime 750,eɪɚɹɑːksaɪm sɛvənhʌndɹɪd fɪfti,uroxime 750,jʊɹɹəksaɪm sɛvənhʌndɹɪd fɪfti,1
vino de quina,viːnoʊ də kwɪnə,vinlon,vɪnlən,1
leucowel,luːkaʊəl,leucovolex,luːkəvoʊlɛks,1
nirsaph 600,nɜːsæf sɪkshʌndɹɪd,irbesaph 300,ɜːbɪsæf θɹiːhʌndɹɪd,1
fozal,foʊzəl,prozalac,pɹoʊzɐlæk,1
novestrol,noʊvstɹɑːl,nostero,nəstɛɹoʊ,1
xanginart,zændʒɪnɑːɹt,angisartan,æŋgɪsɑːɹtən,1
amlogen,æmlədʒən,amlog,æmlɑːg,1
febsan 120,fɛbsən wʌnhʌndɹɪd twɛnti,febusan,fɛbjuːsən,1
pantazil,pæntɐzɪl,pentazol,pɛntɐzɑːl,1
lipibrate,lɪpɪbɹeɪt,lipiblac,lɪpɪblæk,1
retasarc,ɹɪtæsɑːɹk,retasar,ɹɪtæsɑːɹ,1
spevigo,spɛvɪgoʊ,respigo,ɹɪspɪgoʊ,1
algabin 75,ælgɐbɪn sɛvənti faɪv,regabin 75,ɹɪgæbɪn sɛvənti faɪv,1
macromycin,mækɹəmaɪsɪn,aeromycin s,ɛɹoʊmaɪsɪn ɛs,1
hidrasec,hɪdɹeɪsək,hidonac,hɪdənæk,1
nax d,næks diː,calbon d,kælbən diː,1
capd dpca 3,kæpd diːpiːsiːeɪ θɹiː,capd dpca 2,kæpd diːpiːsiːeɪ tuː,1
dypita 225,daɪpiːɾə tuːhʌndɹɪd twɛnti faɪv,zita 25,ziːɾə twɛnti faɪv,1
neurocil,nʊɹɹəsɪl,neuroxin,nʊɹɹəksɪn,1
allase,æleɪz,allererase,ælɚɹɚɹeɪz,1
hikacure,hɪkɐkjʊɹ,diacure,daɪəkjʊɹ,1
sanzepir 50,sænzɪpɪɹ fɪfti,sitavex mf 50 500,sɪɾeɪvɛks ɛmɛf fɪfti faɪvhʌndɹɪd,1
celence 400,sɛləns fɔːɹhʌndɹɪd,selecap 400,sɛlɪkæp fɔːɹhʌndɹɪd,1
gascopan,gæskəpæn,gascovid double action,gæskəvɪd dʌbəl ækʃən,1
panadene,pænɐdiːn,anagrebene,ænɐgɹɛbiːn,1
nutrimin forte,njuːtɹɪmɪn fɔːɹɾeɪ,nutrimax,njuːtɹɪmæks,1
losar 50,lɑːsɑːɹ fɪfti,biozart duo 50 5,baɪoʊzɑːɹt duːoʊ fɪfti faɪv,1
afebrin tf,ɐfɛbɹɪn tiːɛf,ferlin,fɜːlɪn,1
bersevel,bɚsɛvəl,zerevedil,zɛɹɪvɛdɪl,1
ventcare,vɛntkɛɹ,fentare,fɛntɛɹ,1
tigecid,taɪgɪsɪd,tigec,taɪgɛk,1
allase,æleɪz,allos,æloʊz,1
combe five,kəmɛ faɪv,com b forte,kɑːm biː fɔːɹɾeɪ,1
onefix,wʌnfɪks,oncef,ɑːnsɛf,1
piptazorixx,pɪptɐzɔːɹɪks,orixa,ɔːɹɪksə,1
healthcare grille,hɛlθkɛɹ gɹɪl,hicaire,hɪkɛɹ,1
flammasul,flæmæsəl,flamar,flæmɚ,1
teno em,tiːnoʊ ɛm,tenol,tɛnɑːl,1
robitussin,ɹɑːbaɪtʌsɪn,ritusin,ɹɪɾuːzən,1
valzepam,væltsɪpæm,zepax,zɛpæks,1
nirsaph 600,nɜːsæf sɪkshʌndɹɪd,nirsaph 300,nɜːsæf θɹiːhʌndɹɪd,1
ciprophil,sɪpɹəfɪl,captophil,kæptəfɪl,1
rainoxone,ɹeɪnəksoʊn,finox,fɪnɑːks,1
febstat 40,fɛbstæt fɔːɹɾi,febstat 80,fɛbstæt eɪɾi,1
newmacdol,nuːmɐkdɑːl,amadol,æmɐdɑːl,1
suncetin tab,sʌnsɪtɪn tæb,suncet 35,sʌnsɪt θɜːɾi faɪv,1
berodual f udv,bɪɹɑːdʒuːəl ɛf ʌdv,bezir,bɛzɪɹ,1
dermaidmanza,dɜːmeɪdmænzə,dermaidsal,dɜːmeɪdsəl,1
ivapro 5,ɪvæpɹoʊ faɪv,dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,1
amloval 160 10,æmluːvəl wʌnhʌndɹɪd sɪksti tɛn,amlion 10,æmliən tɛn,1
bonsenz,bɑːnsɛnts,bonicent,bɑːnɪsənt,1
tazomed 25,tæzəmd twɛnti faɪv,medlosar plus 25,mɛdləsɑːɹ plʌs twɛnti faɪv,1
amphot,æmfɑːt,ampothin lip 50,æmpəθɪn lɪp fɪfti,1
rahika,ɹæhɪkə,amika,æmɪkə,1
gerdsol,dʒɜːdsɑːl,healthcare dermsol,hɛlθkɛɹ dɜːmsɑːl,1
dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,dapzin m 10 forte,dæpzɪn ɛm tɛn fɔːɹɾeɪ,1
diosid,dɪɑːsɪd,diflosid,dɪfləsɪd,1
metrex,miːɾɚks,metvex,mɛtvɛks,1
diosid,dɪɑːsɪd,diosh,dɪɑːʃ,1
ascorp cee,ɐskɔːɹp siː,alka cee enhanced,ælkə siː ɛnhænst,1
sacriva 750,sækɹɪvə sɛvənhʌndɹɪd fɪfti,meriva,mɛɹɪvə,1
montelev,mɔntɪlɛv,montecet,mɔntɛsɪt,1
dermaidmanza,dɜːmeɪdmænzə,dermaidcal,dɜːmeɪdkəl,1
cutasept f colorless,kjuːɾeɪsəpt ɛf kʌlɚləs,aperusvit f,eɪpɚɹʌsvɪt ɛf,1
ansed,ænst,anaseran,ænɐsɚɹən,1
losarkip 50,lɑːsɑːɹkɪp fɪfti,loza 50,loʊzə fɪfti,1
ceftrash 1000,sɛftɹæʃ wʌn θaʊzənd,ceftri,sɛftɹi,1
saphceetrate,sæfsiːtɹeɪt,saphcorbate,sæfkɔːɹbeɪt,1
cytamax 100,saɪɾɐmæks wʌnhʌndɹɪd,sitamac 100,sɪɾɐmæk wʌnhʌndɹɪd,1
coughsaph 1,kɔfsæf wʌn,4 cough,fɔːɹ kɔf,1
izon,aɪzɑːn,izo,aɪzoʊ,1
imbruvica,ɪmbɹuːvɪkə,ivic,ɪvɪk,1
cholsuvin,kɑːlsuːvɪn,cholevit,koʊlvɪt,1
glucophage,gluːkɑːfɪdʒ,glucophage xr,gluːkɑːfɪdʒ ɛksɑːɹ,1
alprazitel,ælpɹeɪzɪɾəl,praziem,pɹeɪzɪm,1
corvizem,kɔːɹvaɪzəm,corbizee plus,kɔːɹbɪziː plʌs,1
halonol,heɪlənɑːl,allunol,ɐlʌnɑːl,1
novestrol,noʊvstɹɑːl,neogestron,niːoʊdʒɛstɹɑːn,1
co amoxisaph 457,koʊ æməksɪsæf fɔːɹhʌndɹɪd fɪfti sɛvən,co amoxisaph 250,koʊ æməksɪsæf tuːhʌndɹɪd fɪfti,1
peptobloc,pɛptəblɑːk,propbloc,pɹɑːpblɑːk,1
eoroxime 750,eɪɚɹɑːksaɪm sɛvənhʌndɹɪd fɪfti,eroxime 500,ɪɹɑːksaɪm faɪvhʌndɹɪd,1
theoroxime 750,θiəɹəksaɪm sɛvənhʌndɹɪd fɪfti,neoroxime,niːoʊɹɑːksaɪm,1
celtere,kɛltɚ,centrex,sɛntɹɛks,1
satcapto 25,sætkæptoʊ twɛnti faɪv,spitone 25,spɪtoʊn twɛnti faɪv,1
osteomeg,ɑːstɪoʊməg,osteomet,ɑːstɪɑːmɪt,1
hizid,hɪzɪd,trizid,tɹaɪzɪd,1
altacar,ɔːltɐkɑːɹ,atadar,æɾɐdɑːɹ,1
amlogen,æmlədʒən,amlopigen,æmləpaɪdʒən,1
candegen,kændɛdʒən,capegen,keɪpdʒən,1
izon,aɪzɑːn,izon ds,aɪzɑːn diːɛs,1
sharjvax,ʃɑːɹdʒvæks,carvemax,kɑːɹvɪmæks,1
ampisaph 500,æmpɪsæf faɪvhʌndɹɪd,ampisaph 1000,æmpɪsæf wʌn θaʊzənd,1
veeta,viːɾə,beetab,biːɾæb,1
myrevit,maɪɹɪvɪt,mirovit,mɪɹəvɪt,1
afebrin tf,ɐfɛbɹɪn tiːɛf,eferin,ɛfɚɹɪn,1
menquadfi,mɛŋkwɑːdfi,dequadinab lemon,dɛkwədɪnæb lɛmən,1
folicard,fɑːlɪkɑːɹd,folicare,fɑːlɪkɛɹ,1
dolan fp,dɑːlæn ɛfpiː,dopan,dɑːpæn,1
sevomond,sɛvɑːmənd,sevo,siːvoʊ,1
zandropil,zændɹɑːpəl,nootropil,nuːtɹɑːpəl,1
domperone,dɑːmpɚɹoʊn,domperiqo,dɑːmpɚɹɪkoʊ,1
kogzib 60,kɑːgzɪb sɪksti,kogzib 120,kɑːgzɪb wʌnhʌndɹɪd twɛnti,1
ivapro 5,ɪvæpɹoʊ faɪv,dapiflozin m 5 1000,dæpɪflɑːzɪn ɛm faɪv wʌn θaʊzənd,1
acellbia,ɐsɛlbiə,bacrelba,bækɹɛlbə,1
rahika,ɹæhɪkə,rhinekast,ɹaɪŋkæst,1
cefromaxil,sɛfɹəmæksɪl,iromax,ɪɹəmæks,1
kogzib 60,kɑːgzɪb sɪksti,kogzib 90,kɑːgzɪb naɪnti,1
domperone,dɑːmpɚɹoʊn,komperdone,kɑːmpɚdoʊn,1
hema k,hɛmə keɪ,hemaquest,hɛmɐkwɛst,1
sorbance 5,sɔːɹbəns faɪv,goab 5,goʊæb faɪv,1
panadene,pænɐdiːn,paradex,pɚɹeɪdɛks,1
robitussin,ɹɑːbaɪtʌsɪn,robust s,ɹoʊbʌst ɛs,1
salrite,sælɹaɪt,salinate,seɪlɪneɪt,1
muldezar,mʌldɪzɑːɹ,aldizar,ɔːldɪzɑːɹ,1
retasarc,ɹɪtæsɑːɹk,retazart,ɹɪtæzɑːɹt,1
amnoset,æmnəsɛt,amio,æmɪoʊ,1
o gold 20,oʊ goʊld twɛnti,gold z,goʊld ziː,1
elmox cv 3125,ɛlmɑːks siːviː θɹiː θaʊzənd wʌnhʌndɹɪd twɛnti faɪv,elmox cv 625,ɛlmɑːks siːviː sɪkshʌndɹɪd twɛnti faɪv,1
nax d,næks diː,ciferol d,saɪfɹɑːl diː,1
luotriaxone,ljuːətɹɪɐksoʊn,luoriaxon,ljuːɔːɹɪæksən,1
insuget 70 30,ɪnsuːgɪt sɛvənti θɜːɾi,insulet 30 70,ɪnsəlɪt θɜːɾi sɛvənti,1
pure cee,pjʊɹ siː,pure cee zd,pjʊɹ siː ziːdiː,1
basagine,bæsɐdʒɪn,bravadine,bɹævɐdiːn,1
salveo odt,sælvɪoʊ ɑːt,alevo,ɐliːvoʊ,1
nirsaph 600,nɜːsæf sɪkshʌndɹɪd,nicarsaph,nɪkɑːɹsæf,1
valzepam,væltsɪpæm,zepim,zɛpɪm,1
biopril,baɪoʊpɹɪl,amlopril,æmlɑːpɹəl,1
herperax,hɜːpɚɹæks,heprabica 5000,hɛpɹæbɪkə faɪv θaʊzənd,1
basagine,bæsɐdʒɪn,basaglar kwikpen,bæsæglɚ kwɪkpən,1
asmagen,ɐsmeɪdʒən,asthmagen,æzmədʒən,1
glotoxan 1,glɑːɾɑːksən wʌn,glotoxan 200,glɑːɾɑːksən tuːhʌndɹɪd,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,midazolex,mɪdɐzoʊlɛks,1
acitrate,ɐsɪtɹeɪt,acetra,æsɪtɹə,1
cafgard forte,kæfgɑːɹd fɔːɹɾeɪ,cafgard,kæfgɑːɹd,1
ferrqure,fɛrkwɚɹə,ferrate,fɛɹeɪt,1
piptazorixx,pɪptɐzɔːɹɪks,piptam,pɪptæm,1
bruhep,bɹuːhɛp,bruhep 25000,bɹuːhɛp twɛnti faɪv θaʊzənd,1
permetrizz,pɜːmɪtɹɪz,zetriz,zɛtɹɪz,1
berrydazole,bɛɹɪdæzoʊl,zoled,zoʊld,1
bersevel,bɚsɛvəl,sevela,sɛvɛlə,1
peptobloc,pɛptəblɑːk,pantobloc,pæntəblɑːk,1
pantazil,pæntɐzɪl,pantazo,pæntɑːzoʊ,1
